ID_Funcionario,Departamento,Cargo,Nivel_Hierarquico,Estado,Genero,Etnia,Regime_Trabalho,Turno,Data_Admissao,Data_Desligamento,Motivo_Desligamento,Status,Salario_Bruto,Horas_Treinamento_Ano,Avaliacao_Desempenho,Dias_Falta_Ano,Beneficios
FUNC-0001,Comercial,Assistente Comercial,Júnior,RS,Masculino,Pardo,CLT 44h,Híbrido,2020-01-17,2020-10-09,Pedido do colaborador,Desligado,3092.71,15,3.4,11,Vale Transporte|Plano Odontológico|Vale Refeição
FUNC-0002,RH,Analista de RH Pl,Pleno,CE,Masculino,Preto,CLT 44h,Híbrido,2019-02-04,,,Ativo,5070.37,137,3.6,0,Vale Transporte|Plano Odontológico|Seguro de Vida|Vale Refeição
FUNC-0003,RH,Assistente de RH,Júnior,SP,Masculino,Pardo,CLT 44h,Híbrido,2020-04-19,,,Ativo,2499.67,7,2.9,3,Vale Transporte|Gympass|Home Office
FUNC-0004,Jurídico,Advogado Pl,Pleno,SP,Não Informado,Branco,CLT 44h,Noturno,2020-09-05,,,Ativo,,41,,0,Vale Transporte|Stock Options|Seguro de Vida|Plano de Saúde
FUNC-0005,Operações,Técnico de Operações Pl,Pleno,MG,Masculino,Preto,CLT 40h,Presencial,2024-06-22,2024-12-22,Desligamento por justa causa,Desligado,4854.34,17,2.4,0,PLR|Seguro de Vida|Vale Refeição|Plano Odontológico
FUNC-0006,Comercial,Consultor de Vendas Sr,Sênior,MG,Masculino,Branco,CLT 40h,Home Office,2023-05-28,,,Ativo,8950.94,19,2.3,0,Gympass|Plano de Saúde|PLR|Home Office|Auxílio Creche
FUNC-0007,Comercial,Analista Comercial Pl,Pleno,RJ,Feminino,Não Informado,CLT 44h,Presencial,2017-02-08,,,Ativo,5433.73,21,4.6,0,Plano de Saúde|PLR|Seguro de Vida|Gympass
FUNC-0008,RH,Gerente de RH,Gestão,PR,Feminino,Pardo,CLT 44h,Híbrido,2022-01-28,,,Ativo,22801.27,21,4.2,0,PLR|Auxílio Creche|Stock Options|Plano Odontológico|Vale Refeição|Home Office|Gympass
FUNC-0009,Tecnologia,Desenvolvedor Backend Jr,Júnior,SP,Masculino,Branco,CLT 44h,Presencial,2016-01-05,,,Ativo,5764.29,22,4.0,3,PLR|Plano de Saúde|Gympass
FUNC-0010,Logística,Analista de Logística Pl,Pleno,RJ,Masculino,Pardo,CLT 40h,Home Office,2024-06-10,2024-09-21,Desligamento por justa causa,Desligado,,18,3.2,2,Plano de Saúde|Stock Options|Vale Refeição|Vale Transporte
FUNC-0011,Logística,Analista de Logística Pl,Pleno,SP,Feminino,Branco,CLT 40h,Home Office,2021-12-28,2024-08-09,Pedido do colaborador,Desligado,4705.13,5,3.3,1,Stock Options|Seguro de Vida|Plano Odontológico|Gympass
FUNC-0012,Marketing,Gerente de Marketing,Gestão,SC,Feminino,Preto,PJ,Noturno,2023-03-17,,,Ativo,21483.49,28,4.4,1,Gympass|Home Office|Auxílio Creche|Vale Transporte|Seguro de Vida|Stock Options|Plano de Saúde
FUNC-0013,Financeiro,Gerente Financeiro,Gestão,CE,Feminino,Branco,CLT 40h,Híbrido,2018-03-07,2023-11-02,Desligamento sem justa causa,Desligado,17173.73,27,5.0,1,Vale Transporte|Auxílio Creche|PLR|Home Office|Seguro de Vida|Stock Options|Plano Odontológico
FUNC-0014,Jurídico,Advogado Jr,Júnior,RS,Masculino,Não Informado,CLT 40h,Presencial,2023-06-24,,,Ativo,7337.18,9,2.5,1,Plano de Saúde|Vale Refeição|Auxílio Creche
FUNC-0015,RH,Analista de RH Pl,Pleno,RS,Feminino,Pardo,PJ,Híbrido,2021-12-05,,,Ativo,6516.66,16,3.6,1,Stock Options|Plano de Saúde|PLR|Home Office
FUNC-0016,Tecnologia,Analista de Dados Sr,Sênior,SP,Masculino,Pardo,CLT 40h,Híbrido,,,,Ativo,12050.87,51,3.9,1,Seguro de Vida|Home Office|PLR|Stock Options|Gympass
FUNC-0017,Tecnologia,Desenvolvedor Backend Pl,Pleno,MG,Feminino,Preto,CLT 40h,Home Office,2022-09-05,2024-04-01,Proposta externa,Desligado,9002.79,77,3.7,1,Home Office|Vale Transporte|Vale Refeição|Stock Options
FUNC-0018,Tecnologia,Desenvolvedor Backend Jr,Júnior,SP,Masculino,Branco,CLT 44h,Home Office,2024-01-11,,,Ativo,4647.25,60,3.3,3,Gympass|Home Office|Stock Options
FUNC-0019,RH,Analista de RH Pl,Pleno,MG,Feminino,Amarelo,CLT 44h,Presencial,2024-11-07,,,Ativo,5076.66,23,3.7,0,Plano Odontológico|PLR|Vale Transporte|Home Office
FUNC-0020,Operações,Supervisor de Operações,Especialista,GO,Masculino,Pardo,CLT 40h,Noturno,2022-02-05,,,Ativo,9593.47,7,4.2,0,PLR|Home Office|Plano de Saúde|Seguro de Vida|Vale Transporte|Auxílio Creche
FUNC-0021,Operações,Gerente de Operações,Gestão,RJ,Masculino,Branco,CLT 40h,Híbrido,2016-05-11,,,Ativo,19717.69,41,4.0,5,Stock Options|Vale Transporte|Auxílio Creche|PLR|Home Office|Vale Refeição|Gympass
FUNC-0022,Comercial,Assistente Comercial,Júnior,BA,Masculino,Branco,CLT 44h,Home Office,2020-11-27,,,Ativo,2261.58,12,3.2,1,Stock Options|Home Office|Seguro de Vida
FUNC-0023,Tecnologia,Desenvolvedor Backend Jr,Júnior,PR,Masculino,Branco,CLT 44h,Presencial,2024-08-26,,,Ativo,4433.26,55,2.9,0,Vale Refeição|Seguro de Vida|PLR
FUNC-0024,Logística,Assistente de Logística,Júnior,SP,Feminino,Branco,CLT 44h,Presencial,2016-02-02,2019-10-31,Desligamento sem justa causa,Desligado,2058.08,10,2.9,1,Home Office|Stock Options|Plano de Saúde
FUNC-0025,Comercial,Coordenador Comercial,Especialista,CE,Masculino,Branco,CLT 44h,Home Office,2021-12-17,,,Ativo,9559.7,9,4.3,1,Home Office|Stock Options|PLR|Gympass|Plano de Saúde|Vale Transporte
FUNC-0026,Logística,Analista de Logística Pl,Pleno,SC,Feminino,Pardo,CLT 44h,Híbrido,2020-04-02,,,Ativo,5533.67,29,3.4,2,Gympass|PLR|Plano de Saúde|Vale Refeição
FUNC-0027,Tecnologia,Analista de Dados Pl,Pleno,SC,Feminino,Branco,PJ,Home Office,,2021-07-19,Pedido do colaborador,Desligado,9397.1,17,3.4,6,Plano Odontológico|Vale Refeição|Gympass|Vale Transporte
FUNC-0028,Comercial,Assistente Comercial,Júnior,RJ,Masculino,Pardo,CLT 44h,Home Office,2018-07-01,2019-10-01,Desligamento por baixa performance,Desligado,2805.96,28,4.7,8,Gympass|Auxílio Creche|Plano Odontológico
FUNC-0029,Tecnologia,Tech Lead,Especialista,SC,Masculino,Amarelo,PJ,Híbrido,2023-07-25,,,Ativo,19429.72,6,4.3,4,Vale Refeição|Stock Options|PLR|Seguro de Vida|Home Office|Gympass
FUNC-0030,Tecnologia,Desenvolvedor Frontend Pl,Pleno,MG,Feminino,Preto,CLT 40h,Presencial,2024-07-23,,,Ativo,7161.48,26,3.5,3,Vale Refeição|Auxílio Creche|Plano de Saúde|Seguro de Vida
FUNC-0031,Comercial,Assistente Comercial,Júnior,SC,Feminino,Pardo,CLT 44h,Híbrido,,2024-02-24,Desligamento sem justa causa,Desligado,2330.46,14,3.2,5,Vale Transporte|Home Office|Gympass
FUNC-0032,Marketing,Coordenador de Marketing,Especialista,SP,Feminino,Branco,CLT 40h,Presencial,2022-06-28,2024-01-29,Término de contrato,Desligado,14664.52,8,3.3,3,Plano Odontológico|Vale Transporte|Plano de Saúde|Home Office|PLR|Seguro de Vida
FUNC-0033,Operações,Operador de Produção,Júnior,MG,Masculino,Não Informado,PJ,Home Office,2016-03-16,2022-03-30,Pedido do colaborador,Desligado,2388.75,30,2.2,0,Gympass|Vale Transporte|Home Office
